trajectory,inter,intra,dissociation time
549,8.12952752,162.9731094,1.159999974
550,8.610022445,161.9618728,2.499999944
551,9.825898928,160.3775411,1.149999974
552,14.81169936,155.5298785,2.889999935
553,9.690682916,160.9213581,2.099999953
554,9.98158985,160.7780843,1.35999997
555,8.898464761,161.6586276,1.119999975
556,14.68787777,155.7982416,1.179999974
557,9.162012152,161.5907791,1.259999972
558,8.994996569,161.0199142,3.519999921
559,6.524865046,163.1238456,2.629999941
560,8.507664475,161.4173981,1.129999975
561,13.79371279,156.717441,1.109999975
562,15.13845818,155.4547677,1.619999964
563,7.878140529,163.1109507,0.709999984
564,12.69040901,157.9509507,1.119999975
565,7.632050179,162.7696497,1.32999997
566,12.17408106,158.1224732,1.199999973
567,7.245826305,163.0188277,1.35999997
568,14.68128935,156.3864332,2.999999933
569,8.108841601,161.9107791,1.409999969
570,17.88005475,152.1794568,0.809999982
571,4.703750536,166.3789135,5.83999987
572,13.94735625,156.5871194,0.88999998
573,18.11946833,152.4539671,1.279999971
574,9.206429307,161.7746533,0.90999998
575,16.57639471,154.2973981,3.409999924
576,11.29813681,159.3649893,1.699999962
577,7.1755401,162.9320229,1.33999997
578,14.5001837,155.9370836,2.479999945
579,18.18508921,151.83198,0.739999984
580,7.322439314,162.5810007,1.429999968
581,8.03083817,161.2060472,1.429999968
582,13.42549121,157.2927663,1.569999965
583,6.307896926,163.3976126,2.629999941
584,11.67458914,158.9791137,1.109999975
585,7.585771122,162.5941816,0.969999978
586,12.79166162,157.8107934,1.069999976
587,11.81094882,159.1433738,1.289999971
588,11.74211079,157.6471051,3.179999929
589,7.906926233,162.9144675,2.899999935
590,11.97728878,158.379857,0.759999983
591,15.42252852,155.6436741,0.989999978
592,10.78176883,159.6354968,1.689999962
593,14.46540686,155.9086347,1.269999972
594,7.54188263,162.7751108,3.13999993
595,6.232663188,164.2202859,0.88999998
596,18.50090279,152.5921515,0.679999985
597,14.38035382,156.4380129,4.269999905
598,5.494694067,164.3459471,1.239999972
599,7.74140143,162.0493924,1.77999996
600,8.381419728,162.327391,2.089999953
601,14.39682102,156.3251322,0.999999978
602,19.41992209,151.2812437,3.349999925
603,7.050501072,163.4879342,1.659999963
604,17.59367277,152.8531665,2.079999954
605,6.084590279,163.5919228,1.729999961
606,12.02822516,158.7010865,2.859999936
607,10.21747348,160.1207863,1.369999969
608,6.711261615,163.5433452,0.729999984
609,11.48327334,158.7333095,1.059999976
610,12.99360443,158.1066905,3.55999992
611,9.020284918,161.323331,1.059999976
612,8.028205718,162.2352109,0.949999979
613,5.333921801,165.0505933,1.279999971
614,12.67627062,157.3532952,2.639999941
615,12.25572223,158.5524946,0.929999979
616,15.45991351,154.4258613,0.799999982
617,5.996801287,164.7576412,2.439999946
618,17.41076069,152.6839886,0.709999984
619,20.56109521,150.0033024,0.529999988
620,13.87646791,156.4857898,1.419999968
621,10.15276355,160.748263,1.039999977
622,10.56139314,160.0841601,1.059999976
623,7.457133238,162.797441,0.829999981
624,15.28182487,155.4275482,3.56999992
625,12.11942001,158.4624875,1.049999977
626,8.196216011,161.81594,0.769999983
627,12.50279843,158.017198,0.939999979
